,First word,Second word,Third word,Faculty,Admission probability,Relatives graduated this faculty,Plans to work in this field,Preparation for admission,Math,Russian language,Social science,Foreign language,History,Probability of other faculties admission,Pay for university possibility,Student loan,Age,Sex,Financial situation of the family,Number of foreign languages,First foreign language,Second foreign language,Third foreign language,Fourth foreign language,Family social class
0,дающая,оправдывающий,образовательный,Юридический факультет,7,no,2.0,1,75,69,83,83,83,8,1.0,3,17,2,6,3,английский,немецкий,испанский,,2
1,далекий, классный, красивый,Факультет государственного управления,6,yes,3.0,1,63,85,70,70,70,8,1.0,3,17,2,5,2,английский,немецкий,,,3
2,интересный, перспективный, престижный,Экономический факультет,10,no,2.0,4,66,90,68,68,68,6,2.0,1,17,2,5,2,английский,французский,,,3
3,большой, престижный, перспективный,Экономический факультет,5,yes,3.0,1,81,69,77,77,77,8,3.0,2,18,1,4,3,английский,немецкий,испанский,,3
4,перспективный, выгодный, веселый,Юридический факультет,10,no,2.0,2,87,92,70,70,70,7,2.0,2,17,2,6,2,английский,французский,,,3
5,перспективный, увлекательный, приятный,Исторический факультет,4,no,2.0,1,77,64,68,68,68,6,1.0,2,17,2,6,1,английский,,,,3
7,престижный, интересный, бюджетный,Экономический факультет,5,yes,1.0,5,58,75,90,90,90,10,3.0,3,18,1,5,2,английский,немецкий,,,3
9,новый, непонятный, манящий,Факультет биоинженерии и биоинформатики,5,no,2.0,2,50,80,74,74,74,7,1.0,2,17,2,6,1,немецкий,,,,2
10,фундаментальный, академический, творческий,Факультет искусств,5,no,2.0,2.5,63,57,72,72,72,5,3.0,3,18,2,4,1,английский,,,,3
11,востребованный, интересный, увлекательный,Факультет глобальных процессов,7,no,5.0,1,87,73,43,43,43,7,2.0,2,17,1,6,2,английский,французский,,,3
12,хороший, полезный, незнакомый,Экономический факультет,6,no,5.0,4,68,64,63,63,63,7,2.0,3,17,1,7,1,немецкий,,,,2
13,успешный, целеустремленный, умный,Экономический факультет,5,no,1.0,7,66,87,75,75,75,6,3.0,2,17,2,4,1,английский,,,,3
14,современный, актуальный, красивый,Юридический факультет,6,no,2.0,1,59,61,59,59,59,4,1.0,2,16,2,6,1,английский,,,,3
15,интересный, познавательный, престижный,Факультет государственного управления,5,no,2.0,4,53,61,57,57,57,1,3.0,3,18,2,4,2,английский,французский,,,3
16,отличный, интересный,,Экономический факультет,10,no,2.0,"1,2,5",44,70,77,77,77,6,1.0,3,18,2,6,2,английский,немецкий,,,3
17,большой, фунадаментальный,черный,Физический факультет,4,no,4.0,1.2,61,53,50,50,50,5,2.0,2,18,2,4,2,английский,немецкий,,,33
18,умный,интересный,многообразный,Исторический факультет,10,no,4.0,4,63,98,77,77,77,4,2.0,2,17,2,4,1,английский,,,,2
20,интересный, интеллектуальный, красивый,Экономический факультет,5,no,3.0,3,57,61,79,79,79,8,2.0,2,17,2,5,2,французский,английский,,,2
21,серьезный, интересный, сложный,Филологический факультет,8,no,4.0,1,66,91,63,95,87,8,1.0,1,18,2,7,2,французский,английский,,,3
