№,q1.1.                   первое прилагательное,q1.2.                 второе прилагательное,q1.3. третье прилагательное,"q2. факультет, на который подали заявление",q3. оценка вероятности поступления,q4. источник информации о факультете,q4.7. источник информации о факультете (другое),q6. альтернативные места поступления,"q7. наличие родственников, окончивших факультет","q7.1 родственникb, окончившие факультет",q8. работает ли он по специальности (кодируется только если в q7. ответ 1),q9. планирование работать по специальности,q10.1. фактор,q10.2. фактор,q10.3. фактор,q10.7 другое,q11.1.1 вуз,q11.1.2 факультет,q12.1.,q12.2.,q12.3.,q12.7 другое,q13. подготовка перед поступлением,q13.4 курсы в вузе,q13.6. подготовка перед поступлением (другое),q14.1. математика,q14.2. русский язык,q14.3. обществознание,q14.4. иностранный язык,q14.5. история,q15.1.,q15.2.,q15.3.,q15.4.,q15.5.,q15.6.,q15.7.,q15.8.,q15.9.,q15.10.,q16. вероятность поступления на другие факультеты,q17.1. название компании (организации),q17.2. направление (профиль деятельности),q17.3. функциональные обязанности,q18. возможность договорного обучения,q19. образовательный кредит,q20. возраст респондента,q21. пол респондента,q22. место жительства респондента,q22.2 ,q22.3,q23.1. образование (отец),q23.2. образование (мать),q23.8.1 образование (отец),q23.8.2 образование (мать),q23.8. образование родителей (другое),q24. материальное положение семьи,q25. количество иностранных языков,q25.1 иностранный язык,q25.2 иностранный язык,q25.3 иностранный язык,q26. социальный слой семьи
1,дающая,оправдывающий,образовательный,Юридический факультет,7,2,  -,юридический,2,  -,  -,2,1,6,  -,самостоятельное решение,МГЛУ,мировые отношения,2,3,5, -,1, -, -,75,69,83,83,83,2,3,2,1,1,2,1,1,1,3,8,З.О.,З.О.,З.О.,1,3,17,2,1,-,-,4,4,-,-,-,6,3,английский,немецкий,испанский,2
2,Далекий, Классный, Красивый,Факультет государственного управления,6,5,  -,ФГП,1,подруга,4,3,1,2,6, -,МГЛУ,лингвистика,2,3,5, -,1,ФГП, -,63,85,70,70,70,4,2,2,1,1,2,5,1,1,4,8,З.О.,З.О.,З.О.,1,3,17,2,1,-,-,4,4,-,-,-,5,2,английский,немецкий,-,3
3,Интересный, перспективный, престижный.,Экономический факультет,10,3,  -,факультет иностранных языков и регионоведения,2,  -,  -,2,1,3,6, -,РГГУ,историко-архивный,3,4,6, -,4,МГУ, -,66,90,68,68,68,4,2,1,1,2,1,3,1,1,3,6,З.О.,З.О.,З.О.,2,1,17,2,1,-,-,3,3,-,-,-,5,2,английский,французский,-,3
4,большой, престижный, перспективный,Экономический факультет,5,2,  -,не буду поступать,1,друг,3,3,1,2,3, -,МАДИ,ПИ,1,3,4, -,1, -, -,81,69,77,77,77,3,3,2,4,3,3,3,3,3,3,8,директор ОАО ГАЗПРОМ,З.О.,З.О.,3,2,18,1,1,-,-,5,5,-,-,-,4,3,английский,немецкий,испанский,3
5,Перспективный, Выгодный, Веселый,Юридический факультет,10,5,  -,не буду поступать,2,  -,  -,2,1,3,5, -,МГИМО,международные-экономические отношения,2,3,5, -,2, -, -,87,92,70,70,70,1,3,2,3,2,1,3,1,1,3,7,З.О.,финансы,З.О.,2,2,17,2,1,-,-,4,4,-,-,-,6,2,английский,французский,-,3
6,перспективный, увлекательный, приятный,Исторический факультет,4,6,  -,социологический,2,  -,  -,2,1,3,4, -,Финансовый университет,МО,2,3,6, -,1, -, -,77,64,68,68,68,3,1,3,1,1,2,2,1,3,3,6,З.О.,З.О.,З.О.,1,2,17,2,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
7,,,,Географический факультет,5,5,  -,политологический,2,  -,  -,2,1,3,4, -,ВШЭ,философский,1,2,5, -,2, -, -,60,92,71,71,71,2,1,3,2,2,3,2,2,3,3,5,З.О.,З.О.,З.О.,3,3,18,2,1,-,-,2,3,-,-,-,4,3,английский,немецкий,французский,3
8,Престижный, интересный, бюджетный,Экономический факультет,5,3,  -,политологический,1,тетя,1,1,3,5,6, -,нет других, -,1,2,3, -,5, -, -,58,75,90,90,90,1,3,1,2,2,1,1,1,2,1,10,бюро адвокатов,адвокат,З.О.,3,3,18,1,1,-,-,4,4,-,-,-,5,2,английский,немецкий,-,3
9,Интересный, хороший, престижный,Юридический факультет,4,1,  -,географический,2,  -,  -,4,1,4,5, -,ГУУ,социологический,1,2,6, -,4,МГУ, -,63,73,83,83,83,3,1,4,3,3,1,4,3,4,2,6,Газпром,З.О.,З.О.,3,2,18,1,1,-,-,4,4,-,-,-,7,0,-,-,-,3
10,новый, непонятный, манящий,Факультет биоинженерии и биоинформатики,5,1,  -,филологический,2,  -,  -,2,3,6,  -,принимала решение сама,РГГУ,социологический,1,2,3, -,2, -, -,50,80,74,74,74,1,3,2,5,4,5,4,5,3,3,7,З.О.,З.О.,З.О.,1,2,17,2,1,-,-,4,4,-,-,-,6,1,немецкий,-,-,2
